STATIONS_ID;MESS_DATUM;QN_4;NEBEL;GEWITTER;STURM_6;STURM_8; TAU;GLATTEIS;REIF;GRAUPEL;HAGEL;eor
       1346;19490622;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490623;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490624;    5;   1;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490625;    5;   0;   0;   1;   0;   1;   0;   1;   0;   0;eor
       1346;19490626;    5;   0;   0;   1;   0;   1;   0;   1;   0;   0;eor
       1346;19490627;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490628;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490629;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490630;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490701;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490702;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490703;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490704;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490705;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490706;    5;   1;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490707;    5;   0;   0;   0;   0;   0;   0;   1;   0;   0;eor
       1346;19490708;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490709;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490710;    5;   0;   1;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490711;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490712;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490713;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490714;    5;   0;   1;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490715;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490716;    5;   0;   1;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490717;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490718;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490719;    5;   1;   0;   1;   0;   0;   0;   0;   1;   0;eor
       1346;19490720;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490721;    5;   0;   0;   0;   0;   0;   0;   1;   0;   0;eor
       1346;19490722;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490723;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490724;    5;   0;   1;   1;   0;   0;   0;   0;   1;   1;eor
       1346;19490725;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490726;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490727;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490728;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490729;    5;   0;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490730;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490731;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490801;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490802;    5;   0;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490803;    5;   1;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490804;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490805;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490806;    5;   0;   1;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490807;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490808;    5;   0;   1;   1;   0;   0;   0;   0;   0;   0;eor
