Stations_id;Beginn;Ende;Anzahl_Jahre;Fehl_Jahre;Fehl_Werte;max(Fehl_Zeitraum)>=25;Stationsname;eor;
2456;01.01.1950;30.06.2004;54.53;;;-;Jever;eor;
1182;01.01.1947;31.05.2001;54.45;11.23;4098;-;Eisleben-Helfta;eor;
599;01.10.1932;31.12.1986;54.28;3.84;1400;-;Bonn-Friesdorf;eor;
7135;01.01.1951;31.12.2004;54.04;;;-;Aulendorf-Haslach;eor;
4517;01.01.1951;31.12.2004;54.04;.66;242;-;Schömberg,Kr.Calw;eor;
1018;01.01.1951;31.12.2004;54.04;.08;31;-;Donaueschingen;eor;
3927;01.01.1958;31.12.2011;54.03;2.25;822;-;Pfullendorf;eor;
4169;01.01.1958;31.12.2011;54.03;.61;222;-;Rheinau-Memprechtshofen;eor;
881;01.01.1950;31.12.2003;54.03;.24;89;-;Crailsheim-Alexandersreut;eor;
5664;01.01.1958;31.12.2011;54.03;;;-;Wolfach;eor;
5912;01.01.1950;31.12.2003;54.03;;;-;Malsfeld;eor;
5146;01.01.1958;31.12.2011;54.03;7.75;2830;-;Uelzen;eor;
2618;01.01.1958;31.12.2011;54.03;20.01;7305;-;KleinerInselsberg;eor;
1254;01.01.1949;30.11.2002;53.95;.08;31;-;Eppingen;eor;
2264;01.01.1949;30.11.2002;53.95;.17;61;-;Hofgeismar-Beberbeck;eor;
3903;01.01.1951;30.09.2004;53.78;28.94;10564;01.04.1964-31.01.1993;Perl-Besch;eor;
2488;01.01.1949;30.09.2002;53.78;;;-;Kaisheim-Neuhof;eor;
5142;01.01.1951;29.07.2004;53.61;15.91;5807;-;Ueckermünde;eor;
1201;01.07.1947;31.12.2000;53.54;;;-;Elsdorf/Erftkreis;eor;
867;01.01.1949;31.05.2002;53.45;;;-;Lautertal-Oberlauter;eor;
3425;01.01.1951;31.05.2004;53.45;.25;90;-;Murrhardt;eor;
2657;01.01.1955;31.01.2008;53.12;;;-;Koblenz-Horchheim;eor;
1161;01.01.1955;31.01.2008;53.12;4.59;1676;-;Eichstätt-Landershofen;eor;
3565;01.01.1949;31.01.2002;53.12;.15;53;-;Neustadt/Aisch;eor;
5094;01.01.1949;31.12.2001;53.03;;;-;Triberg;eor;
5560;01.01.1951;30.11.2003;52.95;;;-;Wildbad,Bad-Sommerberg;eor;
73;01.03.1959;31.12.2011;52.87;.34;123;-;Aldersbach-Kriestorf;eor;
6159;01.03.1959;31.12.2011;52.87;.12;43;-;Dörpen;eor;
650;01.07.1948;30.04.2001;52.87;21.86;7978;-;Brandenburg-Görden;eor;
2349;01.01.1953;31.08.2005;52.7;;;-;Hornisgrinde;eor;
5568;01.01.1949;31.03.2001;52.28;3.5;1279;-;Wildungen,Bad;eor;
4347;01.01.1948;31.01.2000;52.12;4.33;1579;-;Sachsa,Bad;eor;
1875;01.01.1951;31.12.2002;52.03;;;-;Gschwend,Kr.Ostalb;eor;
2532;01.01.1951;30.12.2002;52.03;.28;102;-;Kassel;eor;
4581;01.01.1951;31.10.2002;51.87;.34;123;-;SchwäbischGmünd-Strassdorf;eor;
1078;01.07.1969;25.04.2021;51.85;;;-;Düsseldorf;eor;
2925;01.01.1957;31.08.2008;51.7;9.01;3287;-;Leinefelde;eor;
4664;01.01.1949;30.06.2000;51.53;1.32;483;-;Selb/Oberfranken-Wildenau;eor;
2423;01.01.1953;30.04.2004;51.36;;;-;Isny;eor;
400;01.01.1961;31.12.2011;51.03;18.52;6758;-;Berlin-Buch;eor;
2953;01.01.1961;31.12.2011;51.03;2.66;972;-;Lenzkirch-Ruhbühl;eor;
4763;01.01.1961;31.12.2011;51.03;5.34;1950;-;Sontra;eor;
2700;01.01.1961;31.12.2011;51.03;;;-;Kösching;eor;
3244;01.01.1961;31.12.2011;51.03;.08;31;-;Memmingen;eor;
5610;01.01.1958;31.12.2008;51.03;.66;242;-;Winterberg;eor;
78;01.01.1961;31.12.2011;51.03;.25;90;-;Alfhausen;eor;
5731;01.01.1961;31.12.2011;51.03;.08;31;-;Wutöschingen-Ofteringen;eor;
15963;01.01.1954;30.11.2004;50.95;.59;214;-;St.Tönis;eor;
998;01.01.1951;31.10.2001;50.87;1.58;577;-;Dobel;eor;
4996;01.01.1949;31.10.1999;50.86;23.1;8430;-;Tegernsee;eor;
2244;01.01.1949;30.09.1999;50.78;;;-;Höchenschwand;eor;
3103;01.05.1947;31.12.1997;50.7;;;-;Lüneburg;eor;
5644;01.01.1949;31.08.1999;50.7;.25;91;-;Witzenhausen;eor;
1219;01.01.1947;30.06.1997;50.53;19.18;6999;-;Emden-Nesserland;eor;
3004;01.01.1949;30.06.1999;50.53;6.59;2404;-;Limburg/Lahn-Offheim;eor;
1001;01.01.1951;30.06.2001;50.53;13.95;5090;-;Doberlug-Kirchhain;eor;
4752;01.01.1951;31.03.2001;50.28;14.45;5273;-;Sonneberg-Neufang;eor;
4339;01.01.1951;31.03.2001;50.28;8.01;2922;-;Saarbrücken-SanktJohann;eor;
3155;01.11.1961;31.12.2011;50.2;.44;161;-;Manderscheid-Sonnenhof;eor;
2503;01.02.1951;31.03.2001;50.19;16.14;5892;-;Kaltennordheim;eor;
361;01.01.1949;31.12.1998;50.03;7.68;2803;-;Berchtesgaden(KKst);eor;
2677;01.01.1951;31.12.2000;50.03;.08;31;-;Königsfeld/Schwarzwald;eor;
1619;01.01.1956;31.12.2005;50.03;;;-;Gernsheim;eor;
4464;01.04.1951;31.03.2001;50.03;23.3;8506;-;Schleiz;eor;
1694;01.01.1951;21.12.2000;50.01;22.83;8333;-;Goldberg;eor;
